Transaction Name,Round,Round - Classification,Investor Names,Organization Name,Funding Type,Money Raised (in USD),Announced Date,Announce Year,Lead Investors,Pre-Money Valuation (in USD),Total Funding Amount (in USD),Estimated Valuation
Series A - Kutumb,Series A,Early-stage,"DST Global, Quiet Capital, Tiger Global Management",Kutumb,Series A,"$1,000,000 ",5/19/21,2021,Tiger Global Management,"$130,000,000 ","$30,011,682 ",3.33%
Series B - Infra.Market,Series B,Early-stage,"Accel, Evolvence India Fund, Foundamental, Nexus Venture Partners, Sistema Asia Capital, Tiger Global Management",Infra.Market,Series B,"$20,000,000 ",12/10/20,2020,Evolvence India Fund,"$150,000,000 ","$726,633,355 ",2.75%
Series D - NestAway,Series D,Late-stage,"Chiratae Ventures, Goldman Sachs, Tiger Global Management, UC-RNT Fund",NestAway,Series D,"$51,000,000 ",3/1/18,2018,"Goldman Sachs, UC-RNT Fund","$150,000,000 ","$109,068,909 ",46.76%
Series B - Rapid Robotics,Series B,Early-stage,"468 Capital, Bee Partners, Greycroft, Kleiner Perkins, New Enterprise Associates, Tiger Global Management",Rapid Robotics,Series B,"$36,700,000 ",8/18/21,2021,"Kleiner Perkins, Tiger Global Management","$155,800,000 ","$54,200,000 ",67.71%
Venture Round - Nuvocargo,Venture Round,Late-stage,"Federico Ranero, Flexport, Hi Ventures (formerly ALLVP), NFX, QED Investors, Tiger Global Management",Nuvocargo,Venture - Series Unknown,"$20,500,000 ",12/10/21,2021,Tiger Global Management,"$159,500,000 ","$74,390,000 ",27.56%
Series B - Captain Fresh,Series B,Early-stage,"Accel, Ankur Capital, Incubate Fund India, Matrix, Naspers, Prosus & Naspers, Prosus Ventures, Tiger Global Management, Z47",Captain Fresh,Series B,"$40,000,000 ",12/21/21,2021,"Prosus Ventures, Tiger Global Management","$160,000,000 ","$171,495,386 ",23.32%
Series C - INDmoney,Series C,Late-stage,"Dragoneer Investment Group, Steadview Capital, Tiger Global Management",INDmoney,Series C,"$12,000,000 ",1/23/20,2020,,"$168,000,000 ","$153,891,230 ",7.80%
Series A - Zolve,Series A,Early-stage,"Accel, Alkeon Capital, DST Global, Lightspeed India Partners, Sparta Group, Tiger Global Management",Zolve,Series A,"$40,059,154 ",10/26/21,2021,DST Global,"$170,251,405 ","$155,059,154 ",25.83%
Series C - Sirion,Series C,Late-stage,"Avatar Growth Capital, Tiger Global Management",Sirion,Series C,"$44,000,000 ",4/27/20,2020,Tiger Global Management,"$176,000,000 ","$170,950,000 ",25.74%
Series C - Life House,Series C,Late-stage,"Alumni Ventures, Cooley, Derive Ventures, Inovia Capital, JLL Spark, KAYAK, KRV Capital, LP, Sound Ventures, Thayer Ventures, Tiger Global Management, Trinity Ventures",Life House,Series C,"$60,000,000 ",12/2/21,2021,"Inovia Capital, KAYAK","$190,000,000 ","$100,400,000 ",59.76%
Series C - Squire,Series C,Late-stage,"Ara Mahdessian, Bossanova Investimentos, Craig Tooey, CRV, Endeavor Catalyst, ICONIQ Capital, ICONIQ Growth, New General Market Ventures, Open Opportunity Fund, Pharrell Williams, Quincy Jones, Stephen Curry, Tiger Global Management, Trevor Noah, Trinity Ventures, Vahe Kuzoyan",Squire,Series C,"$45,000,000 ",12/9/20,2020,ICONIQ Capital,"$205,000,000 ","$167,070,000 ",26.93%
Series C - Classplus,Series C,Late-stage,"Alpha Wave Incubation, Blume Ventures, GSV Ventures, RTP Global, Tiger Global Management",Classplus,Series C,"$35,287,556 ",6/23/21,2021,"Blume Ventures, Tiger Global Management","$215,000,000 ","$129,511,201 ",27.25%
Series B - Dooly,Series B,Early-stage,"Addition, boldstart ventures, BoxGroup, Greenspring Associates, Skip Capital, Spark Capital, Tiger Global Management",Dooly,Series B,"$80,000,000 ",5/20/21,2021,Spark Capital,"$220,000,000 ","$102,300,000 ",78.20%
Series C - Innovaccer,Series C,Late-stage,"B Capital, Dragoneer Investment Group, M12 - Microsoft's Venture Fund, Mubadala Capital Ventures, Steadview Capital, Tiger Global Management, WestBridge Capital",Innovaccer,Series C,"$70,000,000 ",2/14/20,2020,,"$230,000,000 ","$379,100,000 ",18.46%
Series C - Ninjacart,Series C,Late-stage,Tiger Global Management,Ninjacart,Series C,"$90,000,000 ",4/24/19,2019,Tiger Global Management,"$230,000,000 ","$357,624,581 ",25.17%
Series E - blinkit,Series E,Venture-Growth,"Apoletto Managers, SoftBank Vision Fund, Tiger Global Management",blinkit,Series E,"$61,467,537 ",3/16/18,2018,SoftBank Vision Fund,"$238,000,000 ","$1,049,098,135 ",5.86%
Series D - Moglix,Series D,Late-stage,"Accel, Composite Capital Management, InnoVen Capital, International Finance Corporation, Jungle Ventures, Neeraj Arora, Peak XV Partners, Ratan Tata, Tiger Global Management",Moglix,Series D,"$60,000,000 ",7/11/19,2019,"Composite Capital Management, Peak XV Partners, Tiger Global Management","$240,000,000 ","$472,208,452 ",12.71%
Series C - Locus.sh,Series C,Late-stage,"Alpha Wave Global, Amrish Rau, Deb Deep Sengupta, GIC, Kunal Shah, Qualcomm Ventures, Raju Reddy, Tiger Global Management",Locus.sh,Series C,"$50,000,000 ",6/2/21,2021,GIC,"$250,000,000 ","$78,750,000 ",63.49%
Series B - Sendbird,Series B,Early-stage,"August Capital, FundersClub, ICONIQ Growth, Shasta Ventures, Tiger Global Management, Y Combinator",Sendbird,Series B,"$102,000,000 ",2/19/19,2019,"ICONIQ Growth, Tiger Global Management","$250,000,000 ","$220,720,000 ",46.21%
Series B - Unit21,Series B,Early-stage,"A.Capital Ventures, Gradient, ICONIQ Growth, South Park Commons, Tiger Global Management, Trajectory Ventures",Unit21,Series B,"$34,000,000 ",7/7/21,2021,Tiger Global Management,"$266,000,000 ","$92,000,000 ",36.96%
Series B - Quizizz,Series B,Early-stage,"Eight Roads Ventures India, GSV Ventures, Jerry Yang, Nexus Venture Partners, Tiger Global Management",Quizizz,Series B,"$31,500,000 ",6/29/21,2021,Tiger Global Management,"$268,500,000 ","$47,000,000 ",67.02%
Series D - NoBroker,Series D,Late-stage,"General Atlantic, Tiger Global Management",NoBroker,Series D,"$50,000,000 ",10/1/19,2019,Tiger Global Management,"$275,000,000 ","$430,864,899 ",11.60%
Series C - SafetyCulture,Series C,Late-stage,"Blackbird Ventures, Index Ventures, Morpheus Ventures, Scott Farquhar, Tiger Global Management",SafetyCulture,Series C,"$45,489,731 ",5/21/18,2018,Tiger Global Management,"$288,101,630 ","$355,064,892 ",12.81%
Series C - GoMechanic,Series C,Late-stage,"Chiratae Ventures, Orios Venture Partners, Peak XV Partners, Tiger Global Management",GoMechanic,Series C,"$35,000,000 ",6/7/21,2021,Tiger Global Management,"$290,000,000 ","$60,857,618 ",57.51%
Series D - EatClub Brands,Series D,Late-stage,Tiger Global Management,EatClub Brands,Series D,"$40,000,000 ",11/30/21,2021,Tiger Global Management,"$300,000,000 ","$102,668,662 ",38.96%
Series C - M2P Fintech,Series C,Late-stage,"8i Ventures, BEENEXT, Better Capital, DMI AIF Sparkle Fund, Flourish Ventures, Omidyar Network India, Tiger Global Management",M2P Fintech,Series C,"$34,974,231 ",10/12/21,2021,Tiger Global Management,"$300,000,000 ","$217,010,855 ",16.12%
Series D - DealShare,Series D,Late-stage,"Alpha Wave Incubation, Alteria Capital, AngelList India, DST Global, Tiger Global Management, WestBridge Capital, Z3Partners, Z47",DealShare,Series D,"$144,000,000 ",7/8/21,2021,"Tiger Global Management, WestBridge Capital","$311,000,000 ","$390,340,323 ",36.89%
Series B - CRED,Series B,Early-stage,"DF International Partners, Dragoneer Investment Group, Gemini Investments, General Catalyst, Greenoaks, Hillhouse Investment, Peak XV Partners, Ribbit Capital, RTP Global, Tiger Global Management",CRED,Series B,"$120,000,000 ",7/26/19,2019,"Gemini Investments, Peak XV Partners, Ribbit Capital","$330,000,000 ","$801,492,149 ",14.97%
Series D - nTopology,Series D,Late-stage,"Canaan Partners, DCVC, Haystack, Insight Partners, Oldslip, Root Ventures, Tiger Global Management",nTopology,Series D,"$65,000,000 ",11/18/21,2021,Tiger Global Management,"$335,000,000 ","$135,200,000 ",48.08%
Series B - BRYTER,Series B,Early-stage,"Accel, Cavalry Ventures, Dawn Capital, Notion Capital, Tiger Global Management",BRYTER,Series B,"$66,000,000 ",4/7/21,2021,Tiger Global Management,"$344,000,000 ","$89,000,000 ",74.16%
Series D - TytoCare,Series D,Late-stage,"Insight Partners, OTV, Qualcomm Ventures, Qumra Capital, Shenzhen Capital Group, Tiger Global Management",TytoCare,Series D,"$50,000,000 ",3/4/21,2021,Insight Partners,"$350,000,000 ","$205,700,000 ",24.31%
Series C - BharatPe,Series C,Late-stage,"Amplo, AngelList India, Coatue, Insight Partners, Ribbit Capital, Steadview Capital, Survam Partners, Tiger Global Management",BharatPe,Series C,"$75,000,000 ",2/24/20,2020,"Coatue, Ribbit Capital, Tiger Global Management","$350,000,000 ","$790,692,341 ",9.49%
Series C - CleverTap,Series C,Late-stage,"Peak XV Partners, Tiger Global Management",CleverTap,Series C,"$35,000,000 ",10/15/19,2019,"Peak XV Partners, Tiger Global Management","$350,000,000 ","$181,600,000 ",19.27%
Private Equity Round - Rhino,Private Equity Round,Venture-Growth,"Kairos HQ, Lakehouse Ventures, Lakestar, Tiger Global Management",Rhino,Private Equity,"$95,000,000 ",1/26/21,2021,Tiger Global Management,"$355,000,000 ","$140,756,951 ",67.49%
Series D - Lattice,Series D,Late-stage,"Founders Fund, Frontline Ventures, Fuel Capital, Khosla Ventures, Thrive Capital, Tiger Global Management, Y Combinator",Lattice,Series D,"$45,000,000 ",7/14/20,2020,Tiger Global Management,"$355,000,000 ","$330,320,000 ",13.62%
Series D - Guideline,Series D,Late-stage,"American Express Ventures, BoxGroup, Felicis, Gaingels, Generation Investment Management, Greyhound Capital, Lerer Hippeau, Propel, Sand Hill Angels, Tiger Global Management, Xfund",Guideline,Series D,"$80,000,000 ",7/29/20,2020,"Generation Investment Management, Greyhound Capital","$370,000,000 ","$339,000,000 ",23.60%
Series C - Razorpay,Series C,Late-stage,"Peak XV Partners, Ribbit Capital, Tiger Global Management, Y Combinator",Razorpay,Series C,"$75,000,000 ",6/18/19,2019,"Peak XV Partners, Ribbit Capital","$375,000,000 ","$816,309,769 ",9.19%
Series C - Divvy Homes,Series C,Late-stage,"Andreessen Horowitz, Jaws Ventures, Moore Capital, Notable Capital, Tiger Global Management",Divvy Homes,Series C,"$110,000,000 ",2/2/21,2021,Tiger Global Management,"$380,000,000 ","$1,225,000,000 ",8.98%
Series D - SentinelOne,Series D,Late-stage,"DCVC, Granite Hill Capital Partners, Insight Partners, NextEquity Partners, Redpoint, Samsung Ventures, SineWave Ventures, Sound Ventures, Third Point Ventures, Tiger Global Management, W Capital Partners",SentinelOne,Series D,"$120,000,000 ",6/5/19,2019,Insight Partners,"$380,000,000 ","$696,520,000 ",17.23%
Series B - Mural,Series B,Early-stage,"Allison Pickens, Bill Veghte, Gradient, Insight Partners, Ryan Smith, Slack Fund, Tiger Global Management, WiL (World Innovation Lab)",Mural,Series B,"$118,000,000 ",8/25/20,2020,Insight Partners,"$382,000,000 ","$192,275,000 ",61.37%
Series E - Porter,Series E,Venture-Growth,"Dominor Investment, Lightrock, Peak XV Partners, Tiger Global Management, Vitruvian Partners",Porter,Series E,"$99,879,678 ",10/25/21,2021,"Tiger Global Management, Vitruvian Partners","$399,518,713 ","$131,949,765 ",75.70%
Series C - Open Financial Technologies,Series C,Late-stage,"3one4 Capital, AngelList India, Google, SBI Investment, Temasek Holdings, Thirdbase Capital, Tiger Global Management",Open Financial Technologies,Series C,"$100,000,000 ",9/9/21,2021,Temasek Holdings,"$400,000,000 ","$190,808,551 ",52.41%
Series C - Amperity,Series C,Late-stage,"Declaration Partners, Goldman Sachs, Madera Technology Partners, Madrona, Tiger Global Management",Amperity,Series C,"$50,000,000 ",7/15/19,2019,Tiger Global Management,"$400,000,000 ","$187,000,000 ",26.74%
Series C - Zinier,Series C,Late-stage,"Accel, Founders Fund, ICONIQ Growth, Newfund, NGP Capital, Qualcomm Ventures, Tiger Global Management",Zinier,Series C,"$90,000,000 ",1/15/20,2020,ICONIQ Growth,"$410,000,000 ","$120,000,000 ",75.00%
Series E - SignalFx,Series E,Venture-Growth,"Andreessen Horowitz, CRV, Employee Stock Option Fund, General Catalyst, Tiger Global Management",SignalFx,Series E,"$75,000,000 ",6/12/19,2019,Tiger Global Management,"$425,000,000 ","$178,500,000 ",42.02%
Series B - SeekOut,Series B,Early-stage,"Madrona, Mayfield Fund, Tiger Global Management",SeekOut,Series B,"$65,399,972 ",3/9/21,2021,Tiger Global Management,"$435,000,000 ","$188,599,972 ",34.68%
Series F - Chargebee,Series F,Venture-Growth,"Insight Partners, Steadview Capital, Tiger Global Management",Chargebee,Series F,"$55,000,000 ",10/6/20,2020,Insight Partners,"$445,000,000 ","$468,170,000 ",11.75%
Series B - Factorial,Series B,Early-stage,"Columbia Lake Partners, Creandum, CRV, K Fund, Point Nine, Tiger Global Management",Factorial,Series B,"$80,000,000 ",9/6/21,2021,Tiger Global Management,"$450,000,000 ","$299,948,723 ",26.67%
Series C - Peilian.com,Series C,Late-stage,"BHG Long Hills Capital, GSR Ventures, Long Capital, Orchid Asia Group Management, Tencent, Tiger Global Management",Peilian.com,Series C,"$150,000,000 ",11/2/18,2018,Tiger Global Management,"$450,000,000 ","$150,000,000 ",100.00%
Series A - Guardio,Series A,Early-stage,"Cerca Partners, Emerge, Samsung NEXT, Tiger Global Management, Union Tech Ventures, Vintage Investment Partners",Guardio,Series A,"$47,000,000 ",12/14/21,2021,Tiger Global Management,"$453,000,000 ","$47,000,000 ",100.00%
Series B - CoinSwitch,Series B,Early-stage,Tiger Global Management,CoinSwitch,Series B,"$24,103,815 ",4/22/21,2021,Tiger Global Management,"$475,000,000 ","$300,603,815 ",8.02%
Series C - Lacework,Series C,Late-stage,"Altimeter Capital, Coatue, D1 Capital Partners, Dragoneer Investment Group, Ethos Family Office, Human Capital, Liberty Global Ventures, Snowflake Ventures, Sutter Hill Ventures, Tiger Global Management",Lacework,Series C,"$525,000,000 ",1/7/21,2021,"Altimeter Capital, Sutter Hill Ventures","$475,000,000 ","$1,899,000,000 ",27.65%
Series D - Bizongo,Series D,Late-stage,"AddVentures, Adveq, B Capital, Castle Investment, CDC Group, Chiratae Ventures, International Finance Corporation, Satyadharma Investment, Tiger Global Management",Bizongo,Series D,"$110,000,000 ",12/6/21,2021,Tiger Global Management,"$490,000,000 ","$330,293,557 ",33.30%
Series D - Pristyn Care,Series D,Late-stage,"Epiq Capital, Hummingbird Ventures, Peak XV Partners, Tiger Global Management",Pristyn Care,Series D,"$53,000,000 ",4/20/21,2021,Tiger Global Management,"$497,000,000 ","$177,000,000 ",29.94%
Series A - Hutouju,Series A,Early-stage,"GGV Capital, HongShan, IDG Capital, Song Huanping, Tiger Global Management",Hutouju,Series A,"$50,000,000 ",7/14/21,2021,"GGV Capital, Tiger Global Management","$500,000,000 ","$50,000,000 ",100.00%
Series B - Apna,Series B,Early-stage,"Insight Partners, Lightspeed India Partners, Peak XV Partners, Rocketship.vc, Tiger Global Management",Apna,Series B,"$70,000,000 ",6/16/21,2021,"Insight Partners, Tiger Global Management","$500,000,000 ","$193,450,000 ",36.19%
Series D - Vedantu,Series D,Late-stage,"Coatue, Notable Capital, Omidyar Network, Tiger Global Management, WestBridge Capital",Vedantu,Series D,"$100,000,000 ",7/15/20,2020,Coatue,"$500,000,000 ","$295,185,958 ",33.88%
Series B - Pitch,Series B,Early-stage,"Index Ventures, Lakestar, Thrive Capital, Tiger Global Management",Pitch,Series B,"$85,000,000 ",5/20/21,2021,"Lakestar, Tiger Global Management","$515,000,000 ","$137,700,711 ",61.73%
Series A - Scalapay,Series A,Early-stage,"Baleen Capital, Fasanara Capital, Ithaca Investments, Tiger Global Management, Woodson Capital Management",Scalapay,Series A,"$155,000,000 ",9/9/21,2021,Tiger Global Management,"$545,000,000 ","$727,479,971 ",21.31%
Series F - blinkit,Series F,Venture-Growth,"KTB Ventures, Peak XV Partners, Sequoia Capital, SoftBank Vision Fund, Tiger Global Management",blinkit,Series F,"$220,000,000 ",5/15/19,2019,SoftBank Vision Fund,"$550,000,000 ","$1,049,098,135 ",20.97%
Series D - Facily,Series D,Late-stage,"Banana Capital, Bossanova Investimentos, Citius, Delivery Hero Ventures, Glade Brook Capital Partners, Luxor Capital Group, monashees, Quona Capital, Rose Park Advisors, The Spruce House Partnership, Tiger Global Management",Facily,Series D,"$250,000,000 ",11/16/21,2021,"Citius, Delivery Hero Ventures","$600,000,000 ","$502,400,000 ",49.76%
Series C - Current,Series C,Late-stage,"Avenir, Bienville Capital, Foundation Capital, QED Investors, Rashaun Williams, Sapphire Ventures, Tiger Global Management, TQ Ventures, Wellington Management",Current,Series C,"$131,000,000 ",11/24/20,2020,Tiger Global Management,"$619,000,000 ","$402,400,000 ",32.55%
Series C - Jupiter,Series C,Late-stage,"3one4 Capital, Addition, BEENEXT, Global Founders Capital, Greyhound Capital, Invus Opportunities, Mirae Asset Venture Investment, MUFG Bank, Nubank, Peak XV Partners, QED Investors, Rocket Internet, Tanglin Venture Partners, Tiger Global Management, Z47",Jupiter,Series C,"$86,000,000 ",12/27/21,2021,"Peak XV Partners, QED Investors, Tiger Global Management","$625,000,000 ","$169,484,594 ",50.74%
Venture Round - FalconX,Venture Round,Late-stage,"Accel, B Capital, Tiger Global Management",FalconX,Venture - Series Unknown,"$50,000,000 ",3/11/21,2021,"B Capital, Tiger Global Management","$625,000,000 ","$476,999,952 ",10.48%
Series C - Imply,Series C,Late-stage,"Andreessen Horowitz, Bessemer Venture Partners, Geodesic Capital, Khosla Ventures, Tiger Global Management",Imply,Series C,"$70,000,000 ",6/16/21,2021,Bessemer Venture Partners,"$630,000,000 ","$215,300,000 ",32.51%
Series B - Nansen,Series B,Early-stage,"Accel, Amplify Partners, Andreessen Horowitz, Folius Ventures, GIC, L1D, Old Fashion Research, SCB 10X, Skyfall Ventures, Tiger Global Management",Nansen,Series B,"$75,000,000 ",12/16/21,2021,Accel,"$675,000,000 ","$88,200,000 ",85.03%
Series D - Squire,Series D,Late-stage,"CRV, ICONIQ Growth, Tiger Global Management, Trinity Ventures",Squire,Series D,"$60,000,000 ",7/28/21,2021,Tiger Global Management,"$690,000,000 ","$167,070,000 ",35.91%
Series C - Kandji,Series C,Late-stage,"B Capital, Definition, Felicis, First Round Capital, Frontline Ventures, Greycroft, Okta Ventures, SVB Capital, The Spruce House Partnership, Tiger Global Management",Kandji,Series C,"$100,000,000 ",11/18/21,2021,Tiger Global Management,"$700,000,000 ","$288,375,000 ",34.68%
Series D - Spinny,Series D,Late-stage,"Avenir, FJ Labs, GC DF Ventures, General Catalyst, Kaiser Permanente, Tiger Global Management",Spinny,Series D,"$103,570,045 ",7/9/21,2021,Tiger Global Management,"$700,000,000 ","$513,470,045 ",20.17%
Series B - Getir,Series B,Early-stage,"Base Partners, Crankstart Foundation, Esas Holding, Fiba Holding A.Ş, Goodwater Capital, Re-Pie Asset Management, Revo Capital, Tiger Global Management",Getir,Series B,"$128,000,000 ",1/19/21,2021,"Base Partners, Crankstart Foundation","$722,000,000 ","$1,793,000,000 ",7.14%
Series C - CRED,Series C,Late-stage,"Coatue, DST Global, General Catalyst, Peak XV Partners, Ribbit Capital, Satyan Gajwani, Sofina, Tiger Global Management",CRED,Series C,"$81,000,000 ",11/30/20,2020,DST Global,"$725,000,000 ","$801,492,149 ",10.11%
Series B - CloudTrucks,Series B,Early-stage,"Abstract Ventures, BTV Invest, Caffeinated Capital, Craft Ventures, Eric Wu, Flexport, Khosla Ventures, Kindred Ventures, Menlo Ventures, Michael Ovitz, Tiger Global Management",CloudTrucks,Series B,"$115,000,000 ",11/30/21,2021,"Menlo Ventures, Tiger Global Management","$735,000,000 ","$141,600,000 ",81.21%
Series C - Superhuman,Series C,Late-stage,"Arianna Huffington, Ashton Kutcher, Drew Houston, Henrique Dubugras, IVP, Jason Citron, The Chainsmokers, Tiger Global Management, Timothy Young, Will Smith",Superhuman,Series C,"$75,000,000 ",8/4/21,2021,IVP,"$750,000,000 ","$108,000,000 ",69.44%
Series E - Urban Company,Series E,Venture-Growth,"Steadview Capital, Tiger Global Management, Vy Capital",Urban Company,Series E,"$75,000,000 ",8/2/19,2019,Tiger Global Management,"$768,400,000 ","$508,920,356 ",14.74%
Series C - Ruangguru,Series C,Late-stage,"GGV Capital, Tiger Global Management",Ruangguru,Series C,"$55,000,000 ",4/16/21,2021,Tiger Global Management,"$775,000,000 ","$205,050,000 ",26.82%
Series B - slice,Series B,Early-stage,"8i Ventures, Anfa, Binny Bansal, Blume Ventures, Gunosy Capital, Insight Partners, Moore Strategic Ventures, Seek Ventures, Sunley House Capital Management, Tiger Global Management",slice,Series B,"$220,000,000 ",11/29/21,2021,"Insight Partners, Tiger Global Management","$780,000,000 ","$386,870,787 ",56.87%
Series H - Vestiaire Collective,Series H,Venture-Growth,"Bpifrance, Condé Nast, Cuir Invest, Eurazeo, Fidelity International, Kering, Korelya Capital, Luxury Tech Fund, Maximilian Bittner, Tiger Global Management, Vitruvian Partners",Vestiaire Collective,Series H,"$214,466,875 ",3/1/21,2021,"Kering, Tiger Global Management","$785,000,000 ","$722,285,995 ",29.69%
Series E - NoBroker,Series E,Venture-Growth,"General Atlantic, Moore Strategic Ventures, Tiger Global Management",NoBroker,Series E,"$211,559,154 ",11/23/21,2021,"General Atlantic, Moore Strategic Ventures, Tiger Global Management","$790,000,000 ","$430,864,899 ",49.10%
Series E - DataRobot,Series E,Venture-Growth,"AllianceBernstein, AMK Investment Office, DFJ Growth, EDBI, Geodesic Capital, GoldenArc Capital, Intel Capital, Meritech Capital Partners, New Enterprise Associates, Oryx Ventures, Sands Capital Ventures, Sapphire Ventures, Tiger Global Management, WiL (World Innovation Lab)",DataRobot,Series E,"$206,000,000 ",9/17/19,2019,Sapphire Ventures,"$794,000,000 ","$1,050,598,000 ",19.61%
Private Equity Round - GoGuardian,Private Equity Round,Venture-Growth,Tiger Global Management,GoGuardian,Private Equity,"$200,000,000 ",8/5/21,2021,Tiger Global Management,"$800,000,000 ","$200,000,000 ",100.00%
Series D - Go1,Series D,Late-stage,"Airtree Ventures, Blue Cloud Ventures, Bossanova Investimentos, Greyrock Investments, Larsen Ventures, M12 - Microsoft's Venture Fund, Madrona, Salesforce Ventures, Scott Shleifer, SEEK, SoftBank Vision Fund, TEN13, Tiger Global Management, Y Combinator",Go1,Series D,"$200,000,000 ",7/19/21,2021,"Airtree Ventures, Salesforce Ventures, SoftBank Vision Fund","$800,000,000 ","$413,708,345 ",48.34%
Series C - Groq,Series C,Late-stage,"Addition, Alumni Ventures, Boardman Bay Capital Management, Castor Ventures, D1 Capital Partners, Firebolt Ventures, GCM Grosvenor, General Global Capital, Infinitum Partners, Junipero Capital, Samarthya Investment Advisors, TDK Ventures, The Spruce House Partnership, Tiger Global Management, Tru Arrow Partners, Verdure Capital Management, XN, XTX Ventures",Groq,Series C,"$300,000,000 ",4/14/21,2021,"D1 Capital Partners, Tiger Global Management","$800,000,000 ","$1,002,550,552 ",29.92%
Series B - CertiK,Series B,Early-stage,"Coatue, Hillhouse Investment, Lightspeed Venture Partners, Sequoia Capital, Tiger Global Management",CertiK,Series B,"$80,000,000 ",12/1/21,2021,Sequoia Capital,"$820,000,000 ","$300,200,000 ",26.65%
Series C - Flutterwave,Series C,Late-stage,"9Yards Capital, Avenir, DST Global, Early Berrywood Capital, Ethos VC, Golden Palm Investments, Green Visor Capital, Greycroft, Insight Partners, northstar.vc, Salesforce Ventures, Tiger Global Management, Tiger Management Corporation, Worldpay",Flutterwave,Series C,"$170,000,000 ",3/9/21,2021,"Avenir, Tiger Global Management","$830,000,000 ","$509,530,000 ",33.36%
Series D - Zenoti,Series D,Late-stage,"Advent International, Steadview Capital, Tiger Global Management",Zenoti,Series D,"$160,000,000 ",12/15/20,2020,Advent International,"$840,000,000 ","$331,000,000 ",48.34%
Series C - Xendit,Series C,Late-stage,"Accel, Amasia, Goat Capital, Tiger Global Management",Xendit,Series C,"$150,000,000 ",9/14/21,2021,Tiger Global Management,"$850,000,000 ","$534,720,000 ",28.05%
Series E - Locus Robotics,Series E,Venture-Growth,"Bond, Prologis Ventures, Scale Venture Partners, Tiger Global Management",Locus Robotics,Series E,"$150,000,000 ",2/17/21,2021,"Bond, Tiger Global Management","$850,000,000 ","$416,000,000 ",36.06%
Series C - Rapyd,Series C,Late-stage,"Coatue, Entrée Capital, General Catalyst, Oak HC/FT, Stripe, Target Global, Tiger Global Management",Rapyd,Series C,"$100,000,000 ",10/1/19,2019,Oak HC/FT,"$850,000,000 ","$770,000,000 ",12.99%
Series E - TrueLayer,Series E,Venture-Growth,"SquareOne Capital, Stripe, Tiger Global Management, Visionaries Club",TrueLayer,Series E,"$129,684,591 ",9/21/21,2021,Tiger Global Management,"$870,000,000 ","$321,484,591 ",40.34%
